user_id,label
2697490048634,0
2697508856162,0
2697645354591,0
2697542927185,0
2697485071527,0
2697458760853,0
2697441950580,0
2697479707348,1
2697534476004,0
2694515431630,1
2697577787447,0
2697427475210,0
2697413553651,1
2694519737302,0
2697618884575,1
2689432836682,1
2697563410922,0
2697449252649,0
2694525502050,0
2697486639291,0
2697625198369,1
2694521742567,1
2697574896313,1
2689431080760,0
2689425169547,1
2697479010803,0
2697429400593,0
2697429374076,0
2689428562704,1
2697412605170,0
2697541698308,1
2697495531145,1
2689438009313,0
2697478472390,1
2697417713004,0
2697645933613,1
2697433604321,0
2689437648399,1
2697640595248,1
2697476057467,1
2697423250977,1
2697486279590,0
2697652384711,0
2689436281884,1
2689435951509,0
2697443564524,0
2697451984597,1
2697514862327,0
2697586761734,0
2697582431436,0
2697476689992,1
2697519070665,0
2697586723530,1
2697499581824,1
2689424174229,0
2697452989779,1
2697433536854,1
2694514822368,0
2697501292492,0
2697613585255,0
2697562763822,0
2697443042487,1
2697500708020,1
2694514075532,1
2697440953158,0
2694512939072,0
2694523839217,1
2697481347104,0
2697461373231,1
2697551815029,0
2689420372976,1
2697552190795,0
2689434485419,0
2697584550083,0
2694525979407,0
2689437498576,1
2689412477866,1
2689431182980,0
2697479796773,0
2697653033865,0
2697446393181,1
2694528100709,0
2697416328090,0
2697494699977,1
2697423471528,0
2697553183030,0
2697497480651,1
2697437319085,0
2697413815783,0
2697484247461,1
2689419800225,0
2697456019191,0
2697444030614,0
2697640458601,0
2694518361305,0
2694513886377,0
2697558145199,1
2697442422950,0
2697459093143,1
2697603715025,0
2697535352274,1
2697441728194,0
2697449221335,0
2697570666045,0
2689433390942,1
2697538251566,0
2697475391057,1
2697413389160,1
2697435782214,0
2697606470936,1
2697437913746,0
2697601490028,0
2697489314455,1
2694520898189,0
2689432583167,1
2694526714448,0
2689423444037,0
2694513262653,1
2697485878703,1
2697529036548,0
2697608090577,0
2689426063340,1
2697549171228,0
2697449009997,1
2694524513153,1
2697442089554,0
2697437587495,0
2697431879953,0
2697638105502,0
2697547735317,0
2697478970287,1
2697441655455,1
2697498869122,0
2697514405751,0
2697640978136,0
2694527902310,1
2697529122995,0
2697439721600,0
2697610930861,0
2697422038872,1
2697448782387,0
2697557760153,0
2697422721854,1
2697417718730,0
2689413337439,1
2689424636430,1
2697462713546,1
2697440972669,0
2697553750683,0
2689437116266,1
2697462176705,0
2694519803172,1
2697426495253,0
2694519139679,1
2697494260961,1
2697627666821,0
2697489464806,0
2697429994524,0
2697451557613,0
2694514554276,0
2697431214124,0
2697543995278,1
2697543906446,1
2697630638970,0
2697432238131,1
2697540616646,0
2694515080015,1
2689418828397,1
2694524717587,0
2697502722089,0
2697587369470,0
2697641419825,0
2694524974591,0
2694514505650,1
2697645157920,0
2697443072276,1
2694522560774,0
2697594221915,0
2697454158810,0
2697613844031,0
2689428641759,0
2697492693272,0
2689414063622,1
2697562874296,1
2697478932145,1
2697449725194,0
2697620775015,0
2697540220130,0
2697612121647,0
2697444382410,1
2697420242609,0
2697456550116,0
2694528321627,0
2697457756479,0
2689429181122,0
2697608896362,0
2697418293384,0
2697497775063,0
2697630199622,0
2697647087007,0
2697483549694,0
2694522005719,1
2697652255758,0
2697489699041,0
2697431786157,0
2697480743039,0
2689417352922,0
2697591099290,1
2689432446607,1
2697418573182,1
2697432302601,0
2697506069207,1
2694514034904,0
2697505793603,0
